job_id,company_id
921716,2774458
1829192,
10998357,64896719
23221523,766262
35982263,
91700727,1481176
103254301,81942316
112576855,
1218575,721189
2264355,28631247
9615617,1194336
11009123,93456
56482768,
56924323,
69333422,27097933
83789755,3810432
95428182,55624331
103860943,
111513530,4028816
115639136,988555
117675818,4285947
121605673,
133130219,
134286190,
136743465,
141969940,14560773
175485704,76987056
196406165,
227832999,
228003844,4033304
229924287,14773918
231010577,6482450
243731357,1832363
258868844,11008179
263583866,5079435
266566927,8577252
266825034,99212509
280496925,166875
345332937,9900162
358267047,348976
368586246,81247311
445337908,8849197
606178500,53812339
634823509,
658723396,40653883
705356075,27169808
805229245,
844454682,
857299959,
935210241,2695283
974774701,93400454
1014822088,255252
1093227543,11238451
1129235875,53824769
1143359956,
1168783207,
1183148438,
1219205895,
1448163866,4273342
1573178251,
1586552873,11825661
1755471110,76256528
1826257634,35690006
1880409118,16154524
2011147642,3857972
2147609712,167757
2147609754,167757
2147609766,167757
2147609774,167757
2147609785,167757
2147609789,10510386
2147609816,167757
2147609835,167757
2147609840,167757
2147609858,167757
2147609929,167757
2157930553,19173111
2195921577,
2234533717,69611476
2269442456,99090758
2314566469,75865873
2372177891,1051897
2404832493,1004269
2428973832,59147406
2457183642,46713
2558399667,2610793
2735151240,103060
2737009242,
2747409392,18344349
2748500131,10213128
2790549389,1102521
2796728000,2737686
2826285517,14798
2838336689,65104812
2914254129,74748093
2920450495,80316732
2934066464,10104312
2954591060,23674217
2957460032,10378739
2974397965,6556800
2987175317,5023795
2989631782,3496915
3018278978,13153
3040487795,11444024
3045980831,2316373
3075721793,1408415
3117273910,10225354
3127577086,1703759
3169712432,85964
3177010992,72313277
3184403524,1216717
3189117072,1299114
3190494363,1886386
3196627399,88304
3211657373,19071979
3219089287,
3245063922,224935
3251984218,30769477
3260455681,4494
3270034794,9203486
3273249702,4467206
3277232283,70819018
3297645846,59475546
3299509053,76974522
3308438674,65803679
3322949022,35650842
3328787598,
3363439517,82540802
3364366864,2581754
3366698309,14524845
3377655935,1058216
3379554375,1043057
3383214611,12977708
3386174836,
3398076960,
3407282046,10957929
3422171886,89951074
3426467577,80301496
3431736996,118782
3438939828,69064972
3438976411,10096205
3447180215,532049
3452435884,
3458210342,280666
3466187886,10945787
3475821770,89923802
3475933396,33421
3478606637,47027
3478651125,69908319
3480552482,14626199
3483544074,5213044
3486250934,100935524
3487703305,18609798
3492110889,10538826
3499072207,5235
3511440340,16316704
3514667133,79561820
3514683108,40692980
3515274431,82358097
3520238337,18924094
3527189387,9651354
3530975184,11118257
3531344675,2418068
3533320307,490432
3537193915,90737022
3540371917,3252
3544166785,15590560
3547664337,5213457
3548616699,93295625
3550388220,33605
3551631423,2463641
3555161614,101726169
3564676727,
3566954493,33167
3574102287,28684646
3578562287,80035487
3580530332,54685912
3580545157,3325877
3581219846,28391784
3582587683,1317683
3583960568,4805509
3586167732,90662302
3586242087,
3592392532,14003134
3592869068,95725
3594311833,81782606
3594710940,2266952
3599918756,528122
3606129051,4807270
3606634863,82332129
3609090859,947989
3610032286,91423287
3610591138,68901545
3610596223,
3614817348,2447993
3619548798,28173564
3625991523,166996
3626110567,10694264
3627141928,14336
3629278196,81289577
3635014033,4788849
3635117665,4022252
3635916819,88274376
3636873993,94243278
3638272617,9601283
3639866700,10168712
3642223753,
3644730777,33272758
3649948789,1143999
3651735073,11564116
3651779099,8703927
3656167404,
3658924039,9303488
3659406780,27093959
3660449148,95052301
3662420217,95720679
3663813835,6600290
3665701347,
3666781416,79760947
3678077169,10347221
3679026145,16233284
3681437990,86694680
3682650399,64894256
3684991720,10193891
3687125020,18739736
3690117793,19097430
3691624158,5095359
3691793998,51037
3692329268,81235404
3693083161,51664648
3693886408,5272991
3694149664,5232812
3698445650,40731493
3699237531,77712306
3699309082,98213559
3699945651,1485063
3700064749,55525467
3700068571,18838319
3700617207,928047
3700694895,93374
3701198910,38734778
3702659694,912358
3703151811,76641893
3704185899,67089128
3704190127,80318658
3706460061,77897822
3708511732,
3708903045,23729571
3708944827,1027285
3709615746,89238373
3709767981,69899993
3710273988,92675042
3713452241,90486122
3713898217,3930673
3715249215,3803088
3715436359,601906
3715891138,102443644
3720358336,2509192
3720384155,
3720682554,13041595
3722423668,99336130
3723312535,28127993
3723335242,2352712
3726732147,100455075
3726764279,9949014
3727712512,376850
3728459637,91326370
3728879926,99009089
3728884217,342743
3729323858,15089703
3729754558,65040307
3729768983,97432307
3731003001,81456593
3731389852,2042034
3736083076,88914842
3736684097,79365128
3736994600,84013617
3738006446,
3738844984,93139649
3739446309,22993337
3739478140,25051521
3741582728,753083
3742627219,89178311
3742692445,81941852
3743875708,94850267
3744106614,27148859
3744936604,34739628
3745677818,50609
3747072157,5998788
3748229910,94226011
3748720888,11013815
3748909502,85650517
3752057112,10580467
3753758156,613447
3755323506,352855
3756640753,2224
3757672875,82488337
3758935273,903687
3761818635,1027558
3761942097,76170330
3762860888,94173771
3763494664,96183900
3764329709,11250
3765212611,15284509
3765433504,74937195
3766290342,33309816
3766973763,98476512
3767020403,4034001
3767035869,69773
3769036399,2266395
3769518300,74540132
3769551683,25065378
3770151266,16094732
